Date,Open,High,Low,Close,Adj Close,Volume
1992-06-26,0.328125,0.347656,0.320313,0.335938,0.272238,224358400
1992-06-29,0.339844,0.367188,0.332031,0.359375,0.291231,58732800
1992-06-30,0.367188,0.371094,0.343750,0.347656,0.281735,34777600
1992-07-01,0.351563,0.359375,0.339844,0.355469,0.288066,18316800
1992-07-02,0.359375,0.359375,0.347656,0.355469,0.288066,13996800
1992-07-06,0.351563,0.355469,0.347656,0.355469,0.288066,5753600
1992-07-07,0.355469,0.355469,0.347656,0.355469,0.288066,10662400
1992-07-08,0.355469,0.355469,0.343750,0.347656,0.281735,15500800
1992-07-09,0.351563,0.359375,0.347656,0.359375,0.291231,3923200
1992-07-10,0.359375,0.367188,0.351563,0.363281,0.294397,11040000
1992-07-13,0.363281,0.371094,0.359375,0.371094,0.300728,5996800
1992-07-14,0.371094,0.382813,0.367188,0.371094,0.300728,17062400
1992-07-15,0.375000,0.382813,0.371094,0.382813,0.310225,4992000
1992-07-16,0.382813,0.414063,0.378906,0.408203,0.330801,17062400
1992-07-17,0.410156,0.437500,0.398438,0.429688,0.348211,15667200
1992-07-20,0.427734,0.437500,0.417969,0.433594,0.351377,19744000
1992-07-21,0.437500,0.445313,0.429688,0.437500,0.354543,7782400
1992-07-22,0.433594,0.437500,0.421875,0.433594,0.351377,10892800
1992-07-23,0.433594,0.441406,0.425781,0.441406,0.357708,10387200
1992-07-24,0.433594,0.449219,0.429688,0.445313,0.360874,7052800
1992-07-27,0.449219,0.464844,0.445313,0.455078,0.368788,11430400
1992-07-28,0.460938,0.464844,0.429688,0.437500,0.354543,18009600
1992-07-29,0.437500,0.437500,0.406250,0.416016,0.337132,30848000
1992-07-30,0.410156,0.417969,0.402344,0.414063,0.335549,11737600
1992-07-31,0.414063,0.417969,0.406250,0.416016,0.337132,6886400
1992-08-03,0.410156,0.425781,0.410156,0.419922,0.340298,4832000
1992-08-04,0.421875,0.429688,0.412109,0.427734,0.346629,6822400
1992-08-05,0.425781,0.425781,0.402344,0.410156,0.332384,9516800
1992-08-06,0.406250,0.410156,0.398438,0.410156,0.332384,3673600
1992-08-07,0.410156,0.425781,0.398438,0.425781,0.345046,8825600
1992-08-10,0.417969,0.433594,0.414063,0.425781,0.345046,5888000
1992-08-11,0.433594,0.433594,0.421875,0.429688,0.348211,4147200
1992-08-12,0.421875,0.425781,0.402344,0.410156,0.332384,12736000
1992-08-13,0.410156,0.416016,0.402344,0.410156,0.332384,48320000
1992-08-14,0.406250,0.414063,0.382813,0.386719,0.313390,17849600
1992-08-17,0.390625,0.394531,0.382813,0.394531,0.319721,2681600
1992-08-18,0.382813,0.390625,0.382813,0.390625,0.316556,2860800
1992-08-19,0.382813,0.390625,0.382813,0.390625,0.316556,2380800
1992-08-20,0.390625,0.400391,0.378906,0.386719,0.313390,2489600
1992-08-21,0.386719,0.386719,0.378906,0.378906,0.307059,2048000
1992-08-24,0.382813,0.386719,0.375000,0.382813,0.310225,6905600
1992-08-25,0.375000,0.382813,0.375000,0.378906,0.307059,4128000
1992-08-26,0.375000,0.382813,0.359375,0.375000,0.303894,19385600
1992-08-27,0.378906,0.386719,0.375000,0.382813,0.310225,6169600
1992-08-28,0.382813,0.390625,0.378906,0.390625,0.316556,3417600
1992-08-31,0.390625,0.394531,0.382813,0.388672,0.314973,4441600
1992-09-01,0.390625,0.402344,0.386719,0.394531,0.319721,2387200
1992-09-02,0.402344,0.433594,0.394531,0.431641,0.349794,11692800
1992-09-03,0.429688,0.453125,0.429688,0.445313,0.360874,16480000
1992-09-04,0.445313,0.453125,0.441406,0.449219,0.364039,4249600
1992-09-08,0.453125,0.496094,0.445313,0.486328,0.394112,17139200
1992-09-09,0.464844,0.488281,0.453125,0.480469,0.389364,25299200
1992-09-10,0.472656,0.480469,0.464844,0.476563,0.386198,8889600
1992-09-11,0.472656,0.500000,0.472656,0.488281,0.395695,13036800
1992-09-14,0.496094,0.515625,0.492188,0.511719,0.414688,13068800
1992-09-15,0.503906,0.513672,0.480469,0.480469,0.389364,18099200
1992-09-16,0.460938,0.476563,0.457031,0.464844,0.376702,14963200
1992-09-17,0.468750,0.472656,0.437500,0.445313,0.360874,13459200
1992-09-18,0.437500,0.445313,0.417969,0.425781,0.345046,17260800
1992-09-21,0.429688,0.468750,0.417969,0.460938,0.373536,24012800
1992-09-22,0.460938,0.484375,0.453125,0.480469,0.389364,19206400
1992-09-23,0.480469,0.480469,0.457031,0.476563,0.386198,26912000
1992-09-24,0.480469,0.484375,0.468750,0.480469,0.389364,5459200
1992-09-25,0.476563,0.488281,0.472656,0.476563,0.386198,12102400
